HRNO3_Amb_CU	HROrg_Amb_CU	t_series_Local_Start
0.008999999999999999	0.492	3456036996
		3456037088
		3456037202
		3456037237
		3456037329
		3456037442
0.016	0.722	3456037477
		3456037569
		3456037682
		3456037717
		3456037809
		3456037922
0.016	0.783	3456037957
		3456038049
		3456038162
		3456038197
		3456038289
		3456038402
0.01	0.704	3456038437
		3456038529
		3456038642
		3456038677
		3456038769
		3456038882
0.006	0.907	3456038917
		3456039009
		3456039122
		3456039156
		3456039249
		3456039362
0.013	0.822	3456039397
		3456039489
		3456039601
		3456039637
		3456039729
		3456039843
0.01	0.749	3456039878
		3456039970
		3456040082
		3456040116
		3456040209
		3456040322
0.003	0.707	3456040357
		3456040449
		3456040562
		3456040597
		3456040689
		3456040802
0.019	0.825	3456040837
		3456040928
		3456041042
		3456041077
		3456041169
		3456041282
0.012	0.878	3456041316
		3456041409
		3456041522
		3456041557
		3456041649
		3456041762
		3456041797
		3456041889
		3456042002
		3456042036
		3456042128
		3456042242
		3456042276
		3456042368
		3456042482
		3456042517
		3456042609
		3456042722
		3456042756
		3456042848
		3456042961
		3456042996
		3456043088
		3456043201
		3456043236
		3456043328
		3456043442
		3456043477
		3456043569
		3456043682
0.013	0.701	3456043717
		3456043808
		3456043921
		3456043956
		3456044048
		3456044161
0.015	0.681	3456044195
		3456044288
		3456044401
		3456044435
		3456044527
		3456044642
0.002	0.585	3456044677
		3456044769
		3456044882
		3456044916
		3456045015
		3456045122
		3456045156
		3456045248
		3456045361
		3456045396
		3456045488
		3456045602
0.026	1.162	3456045637
		3456045729
		3456045842
		3456045877
		3456045968
		3456046081
0.019	0.964	3456046117
		3456046209
		3456046322
		3456046363
		3456046455
		3456046561
0.018	1.124	3456046596
		3456046688
		3456046802
		3456046837
		3456046929
		3456047042
0.022	1.036	3456047078
		3456047169
		3456047282
		3456047316
		3456047410
		3456047522
0.032	1.14	3456047557
		3456047649
		3456047762
		3456047797
		3456047889
		3456048001
0.027	1.289	3456048036
		3456048128
		3456048242
		3456048277
		3456048369
		3456048481
0.031	1.088	3456048517
		3456048609
		3456048721
		3456048756
		3456048849
		3456048962
0.008	0.995	3456048996
		3456049088
		3456049202
		3456049237
		3456049329
		3456049442
0.027	1.211	3456049477
		3456049569
		3456049682
		3456049716
		3456049808
		3456049922
0.031	1.117	3456049957
		3456050049
		3456050161
		3456050196
		3456050288
		3456050401
0.018	1.141	3456050436
		3456050529
		3456050642
		3456050677
		3456050769
		3456050882
0.026	1.081	3456050916
		3456051008
		3456051122
		3456051157
		3456051249
		3456051362
0.022	0.925	3456051396
		3456051488
		3456051601
		3456051636
		3456051728
		3456051841
0.025	1.018	3456051876
		3456051968
		3456052081
		3456052117
		3456052209
		3456052322
0.05	1.04	3456052356
		3456052448
		3456052561
		3456052596
		3456052689
		3456052801
0.034	0.922	3456052836
		3456052928
		3456053042
		3456053076
		3456053168
		3456053282
0.016	1.14	3456053317
		3456053409
		3456053521
		3456053557
		3456053649
		3456053761
0.017	1.143	3456053797
		3456053889
		3456054002
		3456054037
		3456054129
		3456054242
0.073	1.129	3456054277
		3456054369
		3456054483
		3456054517
		3456054610
		3456054722
0.016	1.099	3456054757
		3456054849
		3456054962
		3456054996
		3456055088
		3456055202
0.051	1.259	3456055236
		3456055328
		3456055441
		3456055476
		3456055568
		3456055681
0.011	1.352	3456055717
		3456055809
		3456055922
		3456055957
		3456056049
		3456056162
0.043	1.496	3456056196
		3456056288
		3456056401
		3456056437
		3456056529
		3456056641
0.029	1.556	3456056677
		3456056769
		3456056881
		3456056916
		3456057009
		3456057122
0.036	1.693	3456057157
		3456057250
		3456057361
		3456057397
		3456057489
		3456057602
0.027	1.878	3456057636
		3456057729
		3456057842
		3456057877
		3456057969
		3456058082
0.025	1.715	3456058116
		3456058208
		3456058322
		3456058357
		3456058449
		3456058562
0.027	1.767	3456058597
		3456058689
		3456058801
		3456058836
		3456058928
		3456059041
0.037	1.823	3456059076
		3456059168
		3456059282
		3456059317
		3456059409
		3456059522
0.026	1.838	3456059557
		3456059649
		3456059762
		3456059797
		3456059888
		3456060002
0.043	1.942	3456060036
		3456060129
		3456060241
		3456060276
		3456060368
		3456060482
0.034	1.094	3456060517
		3456060609
		3456060722
		3456060757
		3456060849
		3456060962
0.065	1.26	3456060997
		3456061089
		3456061202
		3456061237
		3456061329
		3456061442
0.045	1.752	3456061477
		3456061569
		3456061682
		3456061717
		3456061809
		3456061921
0.055	1.8	3456061956
		3456062048
		3456062162
		3456062197
		3456062289
		3456062402
0.039	1.611	3456062437
		3456062529
		3456062642
		3456062677
		3456062771
		3456062882
0.043	1.677	3456062917
		3456063009
		3456063122
		3456063156
		3456063248
		3456063362
0.022	0.756	3456063397
		3456063491
		3456063604
		3456063641
		3456063733
